X1;tahun;judul;keterangan;urls;topik_no;topik;abstrak
1;2000;A Statistical Part-of-Speech Tagger;TLDR: Seminal paper demonstrating a powerful HMM-based POS tagger. Many tips and tricks for building such classical systems included.;https://arxiv.org/pdf/cs/0003055.pdf;1; Part-of-speech Tagging;Trigrams’n’Tags (TnT) is an efficient statistical part-of-speech tagger. Contrary to claims found elsewhere in the literature, we argue that a tagger based on Markov models performs at least as well as other current approaches, including the Maximum Entropy framework. A recent comparison has even shown that TnT performs significantly better for the tested corpora. We describe the basic model of TnT, the techniques used for smoothing and for handling unknown words. Furthermore, we present evalua- tions on two corpora. 
2;2003;Feature-rich part-of-speech tagging with a cyclic dependency network;TLDR: Proposes a number of powerful linguistic features for building a (then) SOTA POS-tagging system;https://nlp.stanford.edu/pubs/tagging.pdf;1; Part-of-speech Tagging;We present a new part-of-speech tagger that demonstrates the following ideas: (i) explicit use of both preceding and following tag con- texts via a dependency network representa- tion, (ii) broad use of lexical features, includ- ing jointly conditioning on multiple consecu- tive words, (iii) effective use of priors in con- ditional loglinear models, and (iv) fine-grained modeling of unknown word features. Using these ideas together, the resulting tagger gives a 97.24% accuracy on the Penn Treebank WSJ, an error reduction of 4.4% on the best previous single automatically learned tagging result. 
3;2015;Bidirectional LSTM-CRF Models for Sequence Tagging;TLDR: Proposes an element sequence-tagging model combining neural networks with conditional random fields, achieving SOTA in POS-tagging, NER, and chunking.;https://arxiv.org/pdf/1508.01991.pdf;1; Part-of-speech Tagging;In this paper, we propose a variety of Long Short-Term Memory (LSTM) based mod- els for sequence tagging. These mod- els include LSTM networks, bidirectional LSTM (BI-LSTM) networks, LSTM with a Conditional Random Field (CRF) layer (LSTM-CRF) and bidirectional LSTM with a CRF layer (BI-LSTM-CRF). Our work is the first to apply a bidirectional LSTM CRF (denoted as BI-LSTM-CRF) model to NLP benchmark sequence tag- ging data sets. We show that the BI- LSTM-CRF model can efficiently use both past and future input features thanks to a bidirectional LSTM component. It can also use sentence level tag information thanks to a CRF layer. The BI-LSTM- CRF model can produce state of the art (or close to) accuracy on POS, chunking and NER data sets. In addition, it is robust and has less dependence on word embedding as compared to previous observations. 
4;2003;Accurate unlexicalized parsing;TLDR: Beautiful paper demonstrating that unlexicalized probabilistic context free grammars can exceed the performance of lexicalized PCFGs.;https://people.eecs.berkeley.edu/~klein/papers/unlexicalized-parsing.pdf;2; Parsing;We demonstrate that an unlexicalized PCFG can parse much more accurately than previously shown, by making use of simple, linguistically motivated state splits, which break down false independence assumptions latent in a vanilla treebank grammar. Indeed, its performance of 86.36% (LP/LR F1) is better than that of early lexicalized PCFG models, and surprisingly close to the current state-of-the- art. This result has potential uses beyond establish- ing a strong lower bound on the maximum possi- ble accuracy of unlexicalized models: an unlexical- ized PCFG is much more compact, easier to repli- cate, and easier to interpret than more complex lex- ical models, and the parsing algorithms are simpler, more widely understood, of lower asymptotic com- plexity, and easier to optimize. 
6;2005;Incorporating Non-local Information into Information Extraction Systems by Gibbs Sampling;TLDR: Using cool Monte Carlo methods combined with a conditional random field model, this work achieves a huge error reduction in certain information extraction benchmarks.;http://nlp.stanford.edu/~manning/papers/gibbscrf3.pdf;2; Parsing;Most current statistical natural language process- ing models use only local features so as to permit dynamic programming in inference, but this makes them unable to fully account for the long distance structure that is prevalent in language use. We show how to solve this dilemma with Gibbs sam- pling, a simple Monte Carlo method used to per- form approximate inference in factored probabilis- tic models. By using simulated annealing in place of Viterbi decoding in sequence models such as HMMs, CMMs, and CRFs, it is possible to incorpo- rate non-local structure while preserving tractable inference. We use this technique to augment an existing CRF-based information extraction system with long-distance dependency models, enforcing label consistency and extraction template consis- tency constraints. This technique results in an error reduction of up to 9% over state-of-the-art systems on two established information extraction tasks. 
7;2015;Bidirectional LSTM-CRF Models for Sequence Tagging;TLDR: Proposes an element sequence-tagging model combining neural networks with conditional random fields, achieving SOTA in POS-tagging, NER, and chunking.;https://arxiv.org/pdf/1508.01991.pdf;3; Named Entity Recognition;In this paper, we propose a variety of Long Short-Term Memory (LSTM) based mod- els for sequence tagging. These mod- els include LSTM networks, bidirectional LSTM (BI-LSTM) networks, LSTM with a Conditional Random Field (CRF) layer (LSTM-CRF) and bidirectional LSTM with a CRF layer (BI-LSTM-CRF). Our work is the first to apply a bidirectional LSTM CRF (denoted as BI-LSTM-CRF) model to NLP benchmark sequence tag- ging data sets. We show that the BI- LSTM-CRF model can efficiently use both past and future input features thanks to a bidirectional LSTM component. It can also use sentence level tag information thanks to a CRF layer. The BI-LSTM- CRF model can produce state of the art (or close to) accuracy on POS, chunking and NER data sets. In addition, it is robust and has less dependence on word embedding as compared to previous observations. 
8;2010;A multi-pass sieve for coreference resolution;TLDR: Proposes a sieve-based approach to coreference resolution that for many years (until deep learning approaches) was SOTA.;https://nlp.stanford.edu/pubs/conllst2011-coref.pdf;3; Named Entity Recognition;This paper details the coreference resolution system submitted by Stanford at the CoNLL- 2011 shared task. Our system is a collection of deterministic coreference resolution mod- els that incorporate lexical, syntactic, seman- tic, and discourse information. All these mod- els use global document-level information by sharing mention attributes, such as gender and number, across mentions in the same cluster. We participated in both the open and closed tracks and submitted results using both pre- dicted and gold mentions. Our system was ranked first in both tracks, with a score of 57.8 in the closed track and 58.3 in the open track. 
9;2015;Entity-Centric Coreference Resolution with Model Stacking;TLDR: This work offers a nifty approach to building coreference chains iteratively using entity-level features.;http://cs.stanford.edu/~kevclark/resources/clark-manning-acl15-entity.pdf;4; Coreference Resolution;Mention pair models that predict whether or not two mentions are coreferent have historically been very effective for coref- erence resolution, but do not make use of entity-level information. However, we show that the scores produced by such models can be aggregated to define pow- erful entity-level features between clusters of mentions. Using these features, we train an entity-centric coreference system that learns an effective policy for building up coreference chains incrementally. The mention pair scores are also used to prune the search space the system works in, al- lowing for efficient training with an exact loss function. We evaluate our system on the English portion of the 2012 CoNLL Shared Task dataset and show that it im- proves over the current state of the art. 
10;2016;Improving Coreference Resolution by Learning Entity-Level Distributed Representations;TLDR: One of the earliest effective approaches to using neural networks for coreference resolution, significantly outperforming the SOTA.;https://cs.stanford.edu/~kevclark/resources/clark-manning-acl16-improving.pdf;4; Coreference Resolution;A long-standing challenge in coreference resolution has been the incorporation of entity-level information – features defined over clusters of mentions instead of men- tion pairs. We present a neural net- work based coreference system that pro- duces high-dimensional vector represen- tations for pairs of coreference clusters. Using these representations, our system learns when combining clusters is de- sirable. We train the system with a learning-to-search algorithm that teaches it which local decisions (cluster merges) will lead to a high-scoring final corefer- ence partition. The system substantially outperforms the current state-of-the-art on the English and Chinese portions of the CoNLL 2012 Shared Task dataset despite using few hand-engineered features. 
11;2012;Baselines and Bigrams: Simple, Good Sentiment and Topic Classification;TLDR: Very elegant paper, illustrating that simple Naive Bayes models with bigram features can outperform more sophisticated methods like support vector machines on tasks such as sentiment analysis.;https://www.aclweb.org/anthology/P12-2018;4; Coreference Resolution;Recent trends suggest that neural- network-inspired word embedding models outperform traditional count-based distri- butional models on word similarity and analogy detection tasks. We reveal that much of the performance gains of word embeddings are due to certain system design choices and hyperparameter op- timizations, rather than the embedding algorithms themselves. Furthermore, we show that these modifications can be transferred to traditional distributional models, yielding similar gains. In contrast to prior reports, we observe mostly local or insignificant performance differences between the methods, with no global advantage to any single approach over the others. 
12;2013;Recursive deep models for semantic compositionality over a sentiment treebank;TLDR: Introduces the Stanford Sentiment Treebank, a wonderful resource for fine-grained sentiment annotation on sentences. Also introduces the Recursive Neural Tensor Network, a neat linguistically-motivated deep learning architecture.;https://nlp.stanford.edu/~socherr/EMNLP2013_RNTN.pdf;5; Sentiment Analysis;Semantic word spaces have been very use- ful but cannot express the meaning of longer phrases in a principled way. Further progress towards understanding compositionality in tasks such as sentiment detection requires richer supervised training and evaluation re- sources and more powerful models of com- position. To remedy this, we introduce a Sentiment Treebank. It includes fine grained sentiment labels for 215,154 phrases in the parse trees of 11,855 sentences and presents new challenges for sentiment composition- ality. To address them, we introduce the Recursive Neural Tensor Network. When trained on the new treebank, this model out- performs all previous methods on several met- rics. It pushes the state of the art in single sentence positive/negative classification from 80% up to 85.4%. The accuracy of predicting fine-grained sentiment labels for all phrases reaches 80.7%, an improvement of 9.7% over bag of features baselines. Lastly, it is the only model that can accurately capture the effects of negation and its scope at various tree levels for both positive and negative phrases. 
13;2007;Natural Logic for Textual Inference;TLDR: Proposes a rigorous logic-based approach to the problem of textual inference called natural logic. Very cool mathematically-motivated transforms are used to deduce the relationship between phrases.;https://nlp.stanford.edu/pubs/natlog-wtep07.pdf;5; Sentiment Analysis;"This paper presents the first use of a com- putational model of natural logic—a sys- tem of logical inference which operates over natural language—for textual infer- ence. Most current approaches to the PAS- CAL RTE textual inference task achieve ro- bustness by sacrificing semantic precision; while broadly effective, they are easily con- founded by ubiquitous inferences involving monotonicity. At the other extreme, systems which rely on first-order logic and theorem proving are precise, but excessively brittle. This work aims at a middle way. Our system finds a low-cost edit sequence which trans- forms the premise into the hypothesis; learns to classify entailment relations across atomic edits; and composes atomic entailments into a top-level entailment judgment. We pro- vide the first reported results for any system on the FraCaS test suite. We also evaluate on RTE3 data, and show that hybridizing an existing RTE system with our natural logic system yields significant performance gains. "
15;2014;Recursive Neural Networks Can Learn Logical Semantics;TLDR: Demonstrates that deep learning architectures such as neural tensor networks can effectively be applied to natural language inference.;https://arxiv.org/pdf/1406.1827.pdf;6; Natural Logic/Inference;Tree-structured recursive neural networks (TreeRNNs) for sentence meaning have been successful for many applications, but it remains an open question whether the fixed-length representations that they learn can support tasks as demanding as logi- cal deduction. We pursue this question by evaluating whether two such models— plain TreeRNNs and tree-structured neural tensor networks (TreeRNTNs)—can cor- rectly learn to identify logical relation- ships such as entailment and contradiction using these representations. In our first set of experiments, we generate artificial data from a logical grammar and use it to eval- uate the models’ ability to learn to handle basic relational reasoning, recursive struc- tures, and quantification. We then evaluate the models on the more natural SICK chal- lenge data. Both models perform compet- itively on the SICK data and generalize well in all three experiments on simulated data, suggesting that they can learn suit- able representations for logical inference in natural language. 
16;2015;A large annotated corpus for learning natural language inference;TLDR: Introduces the Stanford Natural Language Inference corpus, a wonderful NLI resource larger by two orders of magnitude over previous datasets.;http://nlp.stanford.edu/pubs/snli_paper.pdf;6; Natural Logic/Inference;Understanding entailment and contradic- tion is fundamental to understanding nat- ural language, and inference about entail- ment and contradiction is a valuable test- ing ground for the development of seman- tic representations. However, machine learning research in this area has been dra- matically limited by the lack of large-scale resources. To address this, we introduce the Stanford Natural Language Inference corpus, a new, freely available collection of labeled sentence pairs, written by hu- mans doing a novel grounded task based on image captioning. At 570K pairs, it is two orders of magnitude larger than all other resources of its type. This in- crease in scale allows lexicalized classi- fiers to outperform some sophisticated ex- isting entailment models, and it allows a neural network-based model to perform competitively on natural language infer- ence benchmarks for the first time. 
17;1993;The Mathematics of Statistical Machine Translation;TLDR: Introduces the IBM machine translation models, several seminal models in statistical MT.;https://www.aclweb.org/anthology/J93-2003;6; Natural Logic/Inference;"We describe a series o,ffive statistical models o,f the translation process and give algorithms,for estimating the parameters o,fthese models given a set o,fpairs o,fsentences that are translations o,fone another. We define a concept o,fword-by-word alignment between such pairs o,fsentences. For any given pair of such sentences each o,f our models assigns a probability to each of the possible word-by-word alignments. We give an algorithm for seeking the most probable o,fthese alignments. Although the algorithm is suboptimal, the alignment thus obtained accounts well for the word-by-word relationships in the pair o,fsentences. We have a great deal o,fdata in French and English from the proceedings o,f the Canadian Parliament. Accordingly, we have restricted our work to these two languages; but we,feel that because our algorithms have minimal linguistic content they would work well on other pairs o,flanguages. We also,feel, again because of the minimal linguistic content o,four algorithms, that it is reasonable to argue that word-by-word alignments are inherent in any sufficiently large bilingual corpus."
18;2002;BLEU: A Method for Automatic Evaluation of Machine Translation;TLDR: Proposes BLEU, the defacto evaluation technique used for machine translation (even today!);https://www.aclweb.org/anthology/P02-1040.pdf;6; Natural Logic/Inference;Human evaluations of machine translation are extensive but expensive. Human eval- uations can take months to finish and in- volve human labor that can not be reused. We propose a method of automatic ma- chine translation evaluation that is quick, inexpensive, and language-independent, that correlates highly with human evalu- ation, and that has little marginal cost per run. We present this method as an auto- mated understudy to skilled human judges which substitutes for them when there is need for quick or frequent evaluations. 
19;2003;Statistical Phrase-Based Translation;TLDR: Introduces a phrase-based translation model for MT, doing nice analysis that demonstrates why phrase-based models outperform word-based ones.;http://delivery.acm.org/10.1145/1080000/1073462/p48-koehn.pdf?ip=119.2.52.231&id=1073462&acc=OPEN&key=4D4702B0C3E38B35%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35%2E6D218144511F3437&__acm__=1563344668_dde95cd90bb744213141de24431d7dcc;7; Machine Translation;"We describe a series o,ffive statistical models o,f the translation process and give algorithms,for estimating the parameters o,fthese models given a set o,fpairs o,fsentences that are translations o,fone another. We define a concept o,fword-by-word alignment between such pairs o,fsentences. For any given pair of such sentences each o,f our models assigns a probability to each of the possible word-by-word alignments. We give an algorithm for seeking the most probable o,fthese alignments. Although the algorithm is suboptimal, the alignment thus obtained accounts well for the word-by-word relationships in the pair o,fsentences. We have a great deal o,fdata in French and English from the proceedings o,f the Canadian Parliament. Accordingly, we have restricted our work to these two languages; but we,feel that because our algorithms have minimal linguistic content they would work well on other pairs o,flanguages. We also,feel, again because of the minimal linguistic content o,four algorithms, that it is reasonable to argue that word-by-word alignments are inherent in any sufficiently large bilingual corpus"
20;2014;Sequence to Sequence Learning with Neural Networks;TLDR: Introduces the sequence-to-sequence neural network architecture. While only applied to MT in this paper, it has since become one of the cornerstone architectures of modern natural language processing.;https://arxiv.org/pdf/1409.3215.pdf;7; Machine Translation;Deep Neural Networks (DNNs) are powerful models that have achieved excel- lent performance on difficult learning tasks. Although DNNs work well whenever large labeled training sets are available, they cannot be used to map sequences to sequences. In this paper, we present a general end-to-end approach to sequence learning that makes minimal assumptions on the sequence structure. Our method uses a multilayered Long Short-Term Memory (LSTM) to map the input sequence to a vector of a fixed dimensionality, and then another deep LSTM to decode the target sequence from the vector. Our main result is that on an English to French translation task from the WMT’14 dataset, the translations produced by the LSTM achieve a BLEU score of 34.8 on the entire test set, where the LSTM’s BLEU score was penalized on out-of-vocabulary words. Additionally, the LSTM did not have difficulty on long sentences. For comparison, a phrase-based SMT system achieves a BLEU score of 33.3 on the same dataset. When we used the LSTM to rerank the 1000 hypotheses produced by the aforementioned SMT system, its BLEU score increases to 36.5, which is close to the previous best result on this task. The LSTM also learned sensible phrase and sentence representations that are sensitive to word order and are relatively invariant to the active and the pas- sive voice. Finally, we found that reversing the order of the words in all source sentences (but not target sentences) improved the LSTM’s performance markedly, because doing so introduced many short term dependencies between the source and the target sentence which made the optimization problem easier. 
21;2015;Neural Machine Translation by Jointly Learning to Align and Translate;TLDR: Extends previous sequence-to-sequence architectures for MT by using the attention mechanism, a powerful tool for allowing a target word to softly search for important signal from the source sentence.;https://arxiv.org/pdf/1409.0473.pdf;7; Machine Translation;Neural machine translation is a recently proposed approach to machine transla- tion. Unlike the traditional statistical machine translation, the neural machine translation aims at building a single neural network that can be jointly tuned to maximize the translation performance. The models proposed recently for neu- ral machine translation often belong to a family of encoder–decoders and encode a source sentence into a fixed-length vector from which a decoder generates a translation. In this paper, we conjecture that the use of a fixed-length vector is a bottleneck in improving the performance of this basic encoder–decoder architec- ture, and propose to extend this by allowing a model to automatically (soft-)search for parts of a source sentence that are relevant to predicting a target word, without having to form these parts as a hard segment explicitly. With this new approach, we achieve a translation performance comparable to the existing state-of-the-art phrase-based system on the task of English-to-French translation. Furthermore, qualitative analysis reveals that the (soft-)alignments found by the model agree well with our intuition. 
22;2015;Effective approaches to attention-based neural machine translation;TLDR: Introduces two new attention mechanisms for MT, using them to achieve SOTA over existing neural MT systems.;https://arxiv.org/pdf/1508.04025.pdf;7; Machine Translation;An attentional mechanism has lately been used to improve neural machine transla- tion (NMT) by selectively focusing on parts of the source sentence during trans- lation. However, there has been little work exploring useful architectures for attention-based NMT. This paper exam- ines two simple and effective classes of at- tentional mechanism: a global approach which always attends to all source words and a local one that only looks at a subset of source words at a time. We demonstrate the effectiveness of both approaches on the WMT translation tasks between English and German in both directions. With local attention, we achieve a significant gain of 5.0 BLEU points over non-attentional sys- tems that already incorporate known tech- niques such as dropout. Our ensemble model using different attention architec- tures yields a new state-of-the-art result in the WMT’15 English to German transla- tion task with 25.9 BLEU points, an im- provement of 1.0 BLEU points over the existing best system backed by NMT and an n-gram reranker 
23;2016;Neural Machine Translation of Rare Words with Subword Units;TLDR: Introduces byte pair encoding, an effective technique for allowing neural MT systems to handle (more) open-vocabulary translation.;https://arxiv.org/pdf/1508.07909.pdf;7; Machine Translation;Neural machine translation (NMT) mod- els typically operate with a fixed vocabu- lary, but translation is an open-vocabulary problem. Previous work addresses the translation of out-of-vocabulary words by backing off to a dictionary. In this pa- per, we introduce a simpler and more ef- fective approach, making the NMT model capable of open-vocabulary translation by encoding rare and unknown words as se- quences of subword units. This is based on the intuition that various word classes are translatable via smaller units than words, for instance names (via character copying or transliteration), compounds (via com- positional translation), and cognates and loanwords (via phonological and morpho- logical transformations). We discuss the suitability of different word segmentation techniques, including simple character n- gram models and a segmentation based on the byte pair encoding compression algo- rithm, and empirically show that subword models improve over a back-off dictionary baseline for the WMT 15 translation tasks English_German and English_Russian by up to 1.1 and 1.3 BLEU, respectively 
24;2016;Pointing the Unknown Words;TLDR: Proposes a copy-mechanism for allowing MT systems to more effectively copy words from a source context sequence.;https://www.aclweb.org/anthology/P16-1014;7; Machine Translation;Hidden Markov models (HMMs) are a powerful probabilistic tool for modeling sequential data, and have been applied with success to many text-related tasks, such as part-of-speech tagging, text segmentation and information extraction. In these cases, the observations are usually mod- eled as multinomial distributions over a discrete vocabulary, and the HMM parameters are set to maximize the likelihood of the observations. This paper presents a new Markovian sequence model, closely related to HMMs, that allows ob- servations to be represented as arbitrary overlap- ping features (such as word, capitalization, for- matting, part-of-speech), and defines the condi- tional probability of state sequences given ob- servation sequences. It does this by using the maximum entropy framework to fit a set of expo- nential models that represent the probability of a state given an observation and the previous state. We present positive experimental results on the segmentation of FAQ’s 
25;2016;Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation;TLDR: A wonderful case-study demonstrating what a production-capacity machine translation system (in this case that of Google) looks like.;https://arxiv.org/pdf/1609.08144.pdf;7; Machine Translation;Neural Machine Translation (NMT) is an end-to-end learning approach for automated translation, with the potential to overcome many of the weaknesses of conventional phrase-based translation systems. Unfortunately, NMT systems are known to be computationally expensive both in training and in translation inference – sometimes prohibitively so in the case of very large data sets and large models. Several authors have also charged that NMT systems lack robustness, particularly when input sentences contain rare words. These issues have hindered NMT’s use in practical deployments and services, where both accuracy and speed are essential. In this work, we present GNMT, Google’s Neural Machine Translation system, which attempts to address many of these issues. Our model consists of a deep LSTM network with 8 encoder and 8 decoder layers using residual connections as well as attention connections from the decoder network to the encoder. To improve parallelism and therefore decrease training time, our attention mechanism connects the bottom layer of the decoder to the top layer of the encoder. To accelerate the final translation speed, we employ low-precision arithmetic during inference computations. To improve handling of rare words, we divide words into a limited set of common sub-word units (“wordpieces”) for both input and output. This method provides a good balance between the flexibility of “character”-delimited models and the efficiency of “word”-delimited models, naturally handles translation of rare words, and ultimately improves the overall accuracy of the system. Our beam search technique employs a length-normalization procedure and uses a coverage penalty, which encourages generation of an output sentence that is most likely to cover all the words in the source sentence. To directly optimize the translation BLEU scores, we consider refining the models by using reinforcement learning, but we found that the improvement in the BLEU scores did not reflect in the human evaluation. On the WMT’14 English-to-French and English-to-German benchmarks, GNMT achieves competitive results to state-of-the-art. Using a human side-by-side evaluation on a set of isolated simple sentences, it reduces translation errors by an average of 60% compared to Google’s phrase-based production system. 
27;2014;Semantic Parsing via Paraphrasing;TLDR: Develops a unique paraphrase model for learning appropriate candidate logical forms from question-answer pairs, improving SOTA on existing Q/A datasets.;http://aclweb.org/anthology/P14-1133;7; Machine Translation;A central challenge in semantic parsing is handling the myriad ways in which knowl- edge base predicates can be expressed. Traditionally, semantic parsers are trained primarily from text paired with knowledge base information. Our goal is to exploit the much larger amounts of raw text not tied to any knowledge base. In this pa- per, we turn semantic parsing on its head. Given an input utterance, we first use a simple method to deterministically gener- ate a set of candidate logical forms with a canonical realization in natural language for each. Then, we use a paraphrase model to choose the realization that best para- phrases the input, and output the corre- sponding logical form. We present two simple paraphrase models, an association model and a vector space model, and train them jointly from question-answer pairs. Our system PARASEMPRE improves state- of-the-art accuracies on two recently re- leased question-answering datasets. 
28;2015;Building a Semantic Parser Overnight;TLDR: Neat paper showing that a semantic parser can be built from scratch starting with no training examples!;https://cs.stanford.edu/~pliang/papers/overnight-acl2015.pdf;7; Machine Translation;How do we build a semantic parser in a new domain starting with zero training ex- amples? We introduce a new methodol- ogy for this setting: First, we use a simple grammar to generate logical forms paired with canonical utterances. The logical forms are meant to cover the desired set of compositional operators, and the canon- ical utterances are meant to capture the meaning of the logical forms (although clumsily). We then use crowdsourcing to paraphrase these canonical utterances into natural utterances. The resulting data is used to train the semantic parser. We fur- ther study the role of compositionality in the resulting paraphrases. Finally, we test our methodology on seven domains and show that we can build an adequate se- mantic parser in just a few hours. 
29;2015;Bringing Machine Learning and Computational Semantics Together;TLDR: A nice overview of a computational semantics framework that uses machine learning to effectively learn logical forms for semantic parsing.;http://www.stanford.edu/~cgpotts/manuscripts/liang-potts-semantics.pdf;8; Semantic Parsing;"Variants of Naive Bayes (NB) and Support Vector Machines (SVM) are often used as baseline methods for text classification, but their performance varies greatly depending on the model variant, features used and task/ dataset. We show that: (i) the inclusion of word bigram features gives consistent gains on sentiment analysis tasks; (ii) for short snippet sentiment tasks, NB actually does better than SVMs (while for longer documents the oppo- site result holds); (iii) a simple but novel SVM variant using NB log-count ratios as feature values consistently performs well across tasks and datasets. Based on these observations, we identify simple NB and SVM variants which outperform most published results on senti- ment analysis datasets, sometimes providing a new state-of-the-art performance level. "
30;2016;A Thorough Examination of the CNN/Daily Mail Reading Comprehension Task;TLDR: A great wake-up call paper, demonstrating that SOTA performance can be achieved on certain reading comprehension datasets using simple systems with carefully chosen features. Don't forget non-deep learning methods!;https://arxiv.org/pdf/1606.02858.pdf;8; Semantic Parsing;Enabling a computer to understand a document so that it can answer comprehension questions is a central, yet unsolved goal of NLP. A key factor impeding its solution by machine learned systems is the limited availability of human-annotated data. Hermann et al. (2015) seek to solve this problem by creating over a million training examples by pairing CNN and Daily Mail news articles with their summarized bullet points, and show that a neural network can then be trained to give good performance on this task. In this paper, we conduct a thorough examination of this new reading comprehension task. Our primary aim is to understand what depth of language understanding is required to do well on this task. We approach this from one side by doing a careful hand-analysis of a small subset of the problems and from the other by showing that simple, carefully designed systems can obtain accuracies of 73.6% and 76.6% on these two datasets, exceeding current state-of-the-art results by 7–10% and approaching what we believe is the ceiling for performance on this task
31;2017;SQuAD: 100,000+ Questions for Machine Comprehension of Text;TLDR: Introduces the SQUAD dataset, a question-answering corpus that has become one of the defacto benchmarks used today.;https://arxiv.org/pdf/1606.05250.pdf;8; Semantic Parsing;We present the Stanford Question Answer- ing Dataset (SQuAD), a new reading compre- hension dataset consisting of 100,000+ ques- tions posed by crowdworkers on a set of Wikipedia articles, where the answer to each question is a segment of text from the cor- responding reading passage. We analyze the dataset to understand the types of reason- ing required to answer the questions, lean- ing heavily on dependency and constituency trees. We build a strong logistic regression model, which achieves an F1 score of 51.0%, a significant improvement over a simple base- line (20%). However, human performance (86.8%) is much higher, indicating that the dataset presents a good challenge problem for future research. The dataset is freely available at https://stanford-qa.com. 
32;2004;ROUGE: A Package for Automatic Evaluation of Summaries;TLDR: Introduces ROUGE, an evaluation metric for summarization that is used to this day on a variety of sequence transduction tasks.;https://www.aclweb.org/anthology/W04-1013;8; Semantic Parsing;ROUGE stands for Recall-Oriented Understudy for Gisting Evaluation. It includes measures to auto- matically determine the quality of a summary by comparing it to other (ideal) summaries created by humans. The measures count the number of over- lapping units such as n-gram, word sequences, and word pairs between the computer-generated sum- mary to be evaluated and the ideal summaries cre- ated by humans. This paper introduces four different ROUGE measures: ROUGE-N, ROUGE-L, ROUGE-W, and ROUGE-S included in the ROUGE summariza- tion evaluation package and their evaluatio ns. Three of them have been used in the Document Under- standing Conference (DUC) 2004, a large -scale summarization evaluation sponsored by NIST. 
